date,broker,listing_id,url,resort,points,use_year,price,price_per_point,dues_per_point,deed_year,status,point_delta,cost_per_point_year
2026-01-10,DVC Resale Market (archive),ak85326,,Animal Kingdom Villas,160,,17920,112,,,Archived,,
2026-01-10,DVC Resale Market (archive),aka5820,,Animal Kingdom Villas,250,,26000,104,,,Archived,,
2026-01-10,DVC Resale Market (archive),akb5869,,Animal Kingdom Villas,200,,22200,111,,,Archived,,
2026-01-10,DVC Resale Market (archive),akb5871,,Animal Kingdom Villas,200,,22200,111,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak55884,,Animal Kingdom Villas,180,,19260,107,,,Archived,,
2026-01-10,DVC Resale Market (archive),akc5903,,Animal Kingdom Villas,120,,16200,135,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak65276,,Animal Kingdom Villas,250,,27250,109,,,Archived,,
2026-01-10,DVC Resale Market (archive),akf5897,,Animal Kingdom Villas,240,,27360,114,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak35924,,Animal Kingdom Villas,220,,22660,103,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak25939,,Animal Kingdom Villas,160,,18560,116,,,Archived,,
2026-01-10,DVC Resale Market (archive),aka5923,,Animal Kingdom Villas,150,,15900,106,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak55936,,Animal Kingdom Villas,120,,13440,112,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak25941,,Animal Kingdom Villas,100,,11400,114,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak25942,,Animal Kingdom Villas,360,,35640,99,,,Archived,,
2026-01-10,DVC Resale Market (archive),aka5943,,Animal Kingdom Villas,240,,25200,105,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak95935,,Animal Kingdom Villas,300,,37500,125,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak85951,,Animal Kingdom Villas,100,,11400,114,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak35946,,Animal Kingdom Villas,100,,11900,119,,,Archived,,
2026-01-10,DVC Resale Market (archive),akf5954,,Animal Kingdom Villas,250,,28750,115,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak35938,,Animal Kingdom Villas,270,,33210,123,,,Archived,,
2026-01-10,DVC Resale Market (archive),akf5961,,Animal Kingdom Villas,160,,16960,106,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak25964,,Animal Kingdom Villas,120,,12960,108,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak85948,,Animal Kingdom Villas,160,,17280,108,,,Archived,,
2026-01-10,DVC Resale Market (archive),akb5965,,Animal Kingdom Villas,100,,11000,110,,,Archived,,
2026-01-10,DVC Resale Market (archive),akb5966,,Animal Kingdom Villas,100,,11000,110,,,Archived,,
2026-01-10,DVC Resale Market (archive),akf5507,,Animal Kingdom Villas,200,,19400,97,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak55378,,Animal Kingdom Villas,150,,15300,102,,,Archived,,
2026-01-10,DVC Resale Market (archive),akg5968,,Animal Kingdom Villas,100,,10800,108,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak55971,,Animal Kingdom Villas,160,,16960,106,,,Archived,,
2026-01-10,DVC Resale Market (archive),aka5958,,Animal Kingdom Villas,75,,9750,130,,,Archived,,
2026-01-10,DVC Resale Market (archive),akb5976,,Animal Kingdom Villas,200,,23000,115,,,Archived,,
2026-01-10,DVC Resale Market (archive),akb5967,,Animal Kingdom Villas,55,,6050,110,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak75962,,Animal Kingdom Villas,160,,18880,118,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak95960,,Animal Kingdom Villas,120,,14400,120,,,Archived,,
2026-01-10,DVC Resale Market (archive),akb5978,,Animal Kingdom Villas,160,,17280,108,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak35973,,Animal Kingdom Villas,160,,18400,115,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak35970,,Animal Kingdom Villas,165,,18150,110,,,Archived,,
2026-01-10,DVC Resale Market (archive),ak35984,,Animal Kingdom Villas,130,,13390,103,,,Archived,,
2026-01-10,DVC Resale Market (archive),aua3210,,Aulani,270,,23760,88,,,Archived,,
2026-01-10,DVC Resale Market (archive),au52937,,Aulani,100,,12700,127,,,Archived,,
2026-01-10,DVC Resale Market (archive),au53037,,Aulani,150,,16200,108,,,Archived,,
2026-01-10,DVC Resale Market (archive),au53092,,Aulani,250,,27000,108,,,Archived,,
2026-01-10,DVC Resale Market (archive),au33109,,Aulani,160,,16320,102,,,Archived,,
2026-01-10,DVC Resale Market (archive),au32983,,Aulani,110,,11000,100,,,Archived,,
2026-01-10,DVC Resale Market (archive),au53142,,Aulani,200,,22000,110,,,Archived,,
2026-01-10,DVC Resale Market (archive),au63146,,Aulani,200,,19000,95,,,Archived,,
2026-01-10,DVC Resale Market (archive),auc3151,,Aulani,220,,22440,102,,,Archived,,
